ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME
150003655,2,4,5,4,5,1,1,4,5,2,5,2,2,2,1,2,5,5,5,5,2,4,1,2,4,2,2,4,4,4,4,5,4,2,1,2,4,1,1,4,2,1,2,2,4,4,1,2,2,1,12/6/2013 10:54:18 PM
149009223,4,2,5,4,3,3,2,2,5,5,4,2,4,5,1,3,3,4,4,4,3,5,4,3,4,3,3,3,3,3,4,2,2,4,3,3,4,3,4,4,3,4,3,3,4,3,2,2,4,2,12/6/2013 10:56:35 PM
150007771,5,5,4,4,4,4,5,3,4,4,4,4,5,5,4,4,5,5,5,4,3,5,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,12/6/2013 10:59:09 PM
139000015,4,2,4,3,3,5,3,3,3,4,2,4,3,4,2,2,2,3,2,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/2013 11:01:52 PM
152004751,1,3,1,1,5,5,1,1,3,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/7/2013 12:05:49 AM
152003296,2,4,4,4,5,3,1,3,2,5,4,4,5,4,3,5,5,4,3,3,2,4,3,3,3,3,4,4,5,4,4,3,4,4,1,4,1,2,3,4,1,3,4,5,4,4,2,1,5,2,12/7/2013 12:18:56 AM
151000452,2,2,3,2,3,2,3,3,3,4,4,2,3,4,4,3,3,4,5,2,3,4,3,3,3,2,3,3,2,4,4,3,5,3,3,3,3,3,2,4,3,4,3,3,2,4,3,3,4,2,12/7/2013 3:03:31 AM
152005692,5,5,5,5,3,3,3,3,4,2,3,4,3,4,3,3,3,2,3,3,4,2,3,4,2,3,4,2,3,2,4,4,2,3,4,3,2,3,4,2,3,4,3,2,4,3,2,4,3,3,12/7/2013 9:01:46 AM
150009335,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/7/2013 10:04:05 AM
152007297,5,2,3,1,3,4,3,3,4,4,1,4,4,5,4,1,2,3,4,4,4,3,3,3,3,5,3,1,1,3,4,0,4,1,5,1,1,4,4,3,0,1,1,4,3,3,4,1,3,5,12/7/2013 10:32:31 AM
153000959,4,4,5,3,4,2,3,3,4,2,3,5,2,5,4,3,5,4,4,5,3,4,2,3,5,4,5,5,4,4,3,5,4,3,5,4,5,5,3,5,5,3,4,4,4,5,3,3,5,4,12/7/2013 11:52:37 AM
,4,2,3,1,5,3,4,2,3,5,2,3,4,5,2,1,3,4,5,1,5,1,1,4,5,1,5,1,1,5,4,1,5,5,1,3,2,1,4,3,2,4,2,4,2,3,2,3,4,3,12/7/2013 12:31:37 PM
152000653,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,5,1,3,4,2,4,5,2,4,3,2,3,4,0,1,1,12/7/2013 12:40:19 PM
153002432,3,4,5,1,4,2,3,3,4,5,3,4,4,5,2,1,2,4,4,4,3,3,3,3,3,2,4,1,1,3,4,3,4,3,3,2,3,3,3,3,5,2,2,3,3,3,3,5,3,3,12/7/2013 12:51:54 PM
150008235,5,1,2,1,4,5,5,5,5,3,2,5,4,4,2,1,1,2,2,3,5,3,4,5,2,2,3,1,1,3,4,2,4,3,2,2,3,1,3,2,5,1,1,3,3,1,5,3,3,5,12/7/2013 1:02:11 PM
151008546,4,4,4,5,5,3,3,4,4,5,4,3,4,5,3,4,3,4,4,3,2,4,2,3,4,4,4,4,4,4,4,4,4,5,1,4,3,3,3,3,1,2,3,4,4,4,4,2,4,2,12/7/2013 1:08:09 PM
151001951,4,3,5,2,5,2,3,2,4,3,2,5,5,4,3,3,3,5,4,2,2,3,3,4,2,5,2,4,3,5,2,2,3,4,3,3,5,4,1,1,4,3,2,4,3,5,4,3,4,3,12/7/2013 1:08:27 PM
152004066,3,3,3,3,3,3,3,3,3,4,4,1,4,4,1,4,4,4,4,3,3,3,1,1,3,3,3,3,3,3,4,4,3,3,3,3,4,4,1,3,3,4,4,4,4,3,1,3,3,3,12/7/2013 1:29:38 PM
151002990,5,4,4,2,2,4,3,3,4,2,3,5,4,5,4,2,2,4,2,4,4,4,3,4,4,2,4,1,4,3,4,3,4,2,5,2,4,4,2,2,3,2,2,4,4,4,4,2,3,4,12/7/2013 1:41:57 PM
151004402,5,3,3,1,5,2,4,3,5,4,4,5,4,4,3,1,3,4,2,5,4,4,5,4,3,3,4,1,4,5,4,5,5,3,3,5,3,2,5,4,1,5,4,3,3,5,2,3,4,2,12/7/2013 1:53:16 PM
151004084,1,4,1,3,1,1,3,3,4,5,5,4,5,1,2,2,4,4,3,5,1,3,2,4,3,2,5,4,4,4,4,3,4,4,1,5,1,1,5,4,3,2,3,5,4,4,2,1,4,2,12/7/2013 1:55:39 PM
150007185,4,4,4,4,4,3,4,3,4,5,3,3,4,4,3,4,4,4,4,4,2,4,3,3,3,2,4,4,4,4,4,4,4,4,3,3,3,2,3,4,2,2,3,4,3,4,3,2,3,2,12/7/2013 2:20:02 PM
150007622,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/7/2013 3:07:36 PM
150004959,4,3,5,3,4,2,2,3,5,5,0,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,5,3,3,3,3,3,0,5,5,5,5,5,5,5,12/7/2013 3:18:33 PM
150004407,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/7/2013 3:18:59 PM
152008936,3,3,3,2,3,4,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,0,3,3,1,5,3,4,3,4,3,5,4,1,4,0,3,3,3,3,3,3,3,3,3,3,3,3,2,12/7/2013 3:33:58 PM
153003738,4,1,3,1,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,5,4,3,3,1,3,1,3,1,1,1,3,3,3,3,4,3,4,3,4,3,1,3,1,1,2,1,3,1,3,3,12/7/2013 3:37:49 PM
152009958,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12/7/2013 3:38:01 PM
150007943,5,2,5,4,5,5,4,3,5,4,5,5,5,5,4,5,3,5,4,3,5,5,3,5,5,3,5,3,2,4,4,5,4,4,5,0,5,4,5,3,2,4,0,4,5,4,3,2,4,4,12/7/2013 3:56:48 PM
152004542,4,3,3,3,4,4,3,3,4,3,3,4,3,5,3,3,3,2,3,4,3,3,2,4,4,2,3,3,3,4,4,3,4,3,2,3,3,2,4,3,3,2,3,4,3,4,4,2,3,3,12/7/2013 3:58:40 PM
149009694,2,3,3,2,4,4,4,4,2,3,3,4,2,3,3,2,4,4,4,4,3,3,3,3,3,4,2,2,2,4,3,4,3,3,3,3,3,4,2,4,4,4,2,4,4,2,2,2,3,3,12/7/2013 4:00:09 PM
151004832,5,3,4,4,5,5,2,3,5,5,4,3,5,5,2,4,5,4,5,5,4,5,3,3,4,1,4,5,4,5,3,5,4,2,4,4,4,1,4,3,2,4,3,3,4,3,2,5,4,4,12/7/2013 4:04:26 PM
154004168,5,5,5,0,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,0,5,5,4,4,5,5,2,12/7/2013 4:04:35 PM
150004466,5,3,4,3,5,3,2,2,5,1,3,2,4,3,3,3,4,4,3,3,4,2,4,2,4,2,2,3,4,3,4,3,4,4,2,4,3,4,3,4,3,2,3,4,5,3,2,3,2,2,12/7/2013 4:26:25 PM
153004719,4,4,5,4,3,2,2,1,4,4,5,2,4,2,2,4,5,5,4,3,2,5,2,1,3,2,5,4,5,4,4,3,4,4,1,5,2,1,4,5,1,4,3,5,4,4,1,2,4,2,12/7/2013 4:38:09 PM
144001395,4,4,4,3,4,2,2,4,4,4,4,2,4,2,2,4,4,4,4,4,2,4,2,2,4,2,4,4,4,2,4,4,4,4,2,4,2,2,4,4,2,4,4,4,2,4,2,4,4,2,12/7/2013 5:09:52 PM
151002792,4,4,4,4,4,2,2,2,4,4,2,2,4,5,1,4,4,4,4,2,3,4,4,2,3,2,4,3,2,5,4,4,5,4,2,4,2,2,4,4,2,4,4,4,2,4,1,2,2,1,12/7/2013 5:11:32 PM
152009223,3,4,4,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,3,3,2,3,3,3,2,3,2,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,3,3,3,12/7/2013 5:21:51 PM
