school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
WEST MARKET STREET CENTER,ESSEX,3-Vocational school,3404800,723,204,184,170,165,332,391,2,5,467,244,5,550,12.91,56,4-Other,1st Grade,12th Grade
WEST MILFORD HIGH SCHOOL,PASSAIC,1-Regular school,3417520,1292,305,309,322,344,652,640,2,10,22,47,1210,49,16.63,77.7,3-High,9th Grade,12th Grade
WEST MORRIS CENTRAL HIGH SCHOOL,MORRIS,1-Regular school,3417550,1417,356,347,341,373,688,729,2,52,20,81,1256,20,14.76,96,3-High,9th Grade,12th Grade
WEST MORRIS MENDHAM HIGH SCHOOL,MORRIS,1-Regular school,3417550,1325,330,375,310,310,687,638,6,32,7,31,1242,14,15.48,85.6,3-High,9th Grade,12th Grade
WEST ORANGE HIGH SCHOOL,ESSEX,1-Regular school,3417610,2143,592,525,505,427,1084,1059,0,141,1009,477,514,670,12.99,165,3-High,9th Grade,12th Grade
WEST SIDE HIGH SCHOOL,ESSEX,1-Regular school,3411340,965,150,222,230,223,462,503,0,0,919,45,0,690,14.09,68.5,3-High,9th Grade,12th Grade
WESTFIELD SENIOR HIGH SCHOOL,UNION,1-Regular school,3417760,1839,474,456,457,452,914,925,0,117,68,67,1587,28,16.6,110.8,3-High,9th Grade,12th Grade
WESTWOOD JUNIOR  SENIOR HIGH SCHOOL,BERGEN,1-Regular school,3417820,973,181,186,191,196,482,491,0,62,40,94,770,39,12.7,76.6,3-High,8th Grade,12th Grade
WHIPPANY PARK HIGH SCHOOL,MORRIS,1-Regular school,3406660,624,168,168,140,148,312,312,0,82,9,17,516,8,14.05,44.4,3-High,9th Grade,12th Grade
WILDWOOD HIGH SCHOOL,CAPE MAY,1-Regular school,3417940,289,73,66,81,57,160,129,0,4,46,101,138,148,10.1,28.6,3-High,9th Grade,12th Grade
WILLIAM L DICKINSON,HUDSON,1-Regular school,3407830,2377,775,551,513,538,1278,1099,27,532,409,1084,300,1400,15.74,151,3-High,9th Grade,12th Grade
WILLIAMSTOWN HIGH SCHOOL,GLOUCESTER,1-Regular school,3410470,1828,509,459,413,435,937,891,4,39,438,79,1267,370,16.56,110.4,3-High,9th Grade,12th Grade
WILLINGBORO HIGH SCHOOL,BURLINGTON,1-Regular school,3418000,928,218,234,251,179,481,447,1,7,855,47,17,359,14.92,62.2,3-High,9th Grade,12th Grade
WINSLOW TWP HIGH SCHOOL,CAMDEN,1-Regular school,3418060,1503,456,295,349,364,749,754,3,38,909,152,399,470,13.89,108.2,3-High,9th Grade,12th Grade
WOOD  RIDGE HIGH SCHOOL,BERGEN,1-Regular school,3418300,310,39,73,117,81,151,159,1,11,2,58,236,41,10.44,29.7,3-High,9th Grade,12th Grade
WOODBRIDGE HIGH SCHOOL,MIDDLESEX,1-Regular school,3418120,1443,330,378,340,360,714,729,1,139,230,383,689,337,12.95,111.4,3-High,9th Grade,12th Grade
WOODBURY JR  SR HIGH SCHOOL,GLOUCESTER,1-Regular school,3418150,807,130,104,104,114,404,403,4,9,354,91,346,367,12.28,65.7,4-Other,6th Grade,12th Grade
WOODROW WILSON HIGH SCHOOL,CAMDEN,1-Regular school,3402640,969,195,202,204,163,529,440,0,13,358,591,7,522,11.58,83.7,3-High,9th Grade,12th Grade
WOODSTOWN HIGH SCHOOL,SALEM,1-Regular school,3418330,766,171,198,192,198,375,391,4,6,65,21,663,86,17.29,44.3,3-High,9th Grade,12th Grade
WWINDSOR  PLAINSBORO NORTH,MIDDLESEX,1-Regular school,3417700,1598,389,406,393,349,796,802,0,748,118,89,640,58,14.29,111.8,3-High,9th Grade,12th Grade
WWINDSOR  PLAINSBORO SOUTH,MERCER,1-Regular school,3417700,1606,382,407,406,411,842,764,0,727,104,93,681,48,15.27,105.2,3-High,9th Grade,12th Grade
YOUTHBUILD CAMDEN,MERCER,4-Alternative/other school,3400089,14,7,5,1,1,13,1,0,0,10,4,0,0,14,1,3-High,9th Grade,12th Grade
YOUTHBUILD NEWARK,MERCER,4-Alternative/other school,3400089,43,5,16,19,1,35,8,1,0,40,1,1,0,10.75,4,3-High,8th Grade,12th Grade
