ID,qcc1,qcc2,qcc3,qcc4,qcc5,qcc6,qcc7,qcc8,qcc9,qcc10,qcc11,qcc12,qcc13,qcc14,qcc15,qcc16,qcc17,qcc18,qcc19,qcc20,qcc21,qcc22,qcc23,qcc24,qcc25,qcc26,qcc27,qcc28,qcc29,qcc30,qcc31,qcc32,qcc33,qcc34,qcc35,qcc36,qcc37,qcc38,qcc39,qcc40,qcc41,qcc42,qcc43,qcc44,qcc45,qcc46,qcc47,qcc48,qcc49,qcc50,qccTIME
150000212,4,2,4,2,4,5,5,4,5,4,2,4,2,5,2,4,2,2,2,0,5,4,4,4,4,2,4,1,2,3,4,3,2,2,4,2,4,2,4,2,2,2,2,2,4,4,4,2,2,4,5/3/2014 5:30:07 PM
150007519,5,2,4,3,5,5,4,2,5,4,4,2,2,1,2,1,3,5,4,4,5,5,4,2,4,1,5,2,4,4,4,4,2,2,4,4,2,1,5,4,4,4,4,4,5,5,4,4,5,4,5/3/2014 5:31:33 PM
152005855,4,3,4,1,4,3,4,4,5,3,2,3,4,5,4,1,3,4,2,4,4,2,1,4,4,3,4,1,2,3,4,3,2,1,3,1,3,3,3,4,1,4,1,1,2,3,2,2,3,3,5/3/2014 5:32:48 PM
150004304,3,2,4,3,5,3,3,3,4,5,3,3,4,5,3,5,3,5,5,4,3,5,4,3,3,3,4,3,2,3,4,2,4,3,3,4,3,4,4,4,3,3,3,4,2,3,3,4,3,3,5/3/2014 5:34:36 PM
152001381,5,5,4,3,5,4,4,5,4,4,4,5,5,5,1,4,3,4,5,1,1,5,1,3,3,1,3,1,2,4,4,1,4,4,4,3,2,3,4,4,3,4,4,4,2,5,3,1,4,3,5/3/2014 5:46:06 PM
152006956,5,5,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,4,4,2,0,5,3,4,4,3,3,3,4,4,2,4,4,0,4,4,5,3,2,4,5,5,0,5,4,4,3,5,5,2,5/3/2014 5:58:27 PM
150007185,5,3,4,4,4,4,5,3,3,4,3,3,4,3,4,3,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,3,4,4,2,4,3,1,3,3,2,2,4,4,4,4,2,2,3,3,5/3/2014 6:01:58 PM
152002101,1,5,4,5,4,1,1,2,2,5,5,1,5,4,1,5,5,5,3,4,1,4,1,1,1,2,5,5,4,5,4,3,4,5,1,5,5,2,1,5,2,5,0,4,2,4,1,1,5,1,5/3/2014 6:03:02 PM
151002424,4,4,4,4,4,2,3,2,4,4,4,4,2,2,3,4,4,4,4,4,2,4,3,2,4,3,4,3,3,3,4,4,4,4,3,4,3,2,3,4,2,4,4,4,2,4,4,4,4,4,5/3/2014 6:03:51 PM
152006969,4,4,4,2,4,3,3,2,4,4,4,2,4,4,2,3,3,4,4,2,2,4,2,2,4,2,4,3,3,4,4,3,4,3,2,3,2,3,2,3,2,4,4,4,4,4,2,2,4,2,5/3/2014 6:05:28 PM
