ID,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50,QCTIME
151007891,5,2,5,1,3,3,4,5,5,2,3,3,4,4,2,3,3,4,3,4,4,4,3,3,3,2,3,3,2,4,4,4,4,4,1,4,0,2,2,3,2,3,2,3,3,3,4,2,3,2,9/8/2013 12:45:21 PM
151000849,5,4,5,3,4,3,2,2,0,2,2,4,5,5,1,3,5,5,2,1,2,4,1,2,2,1,5,2,2,5,4,2,5,3,1,3,2,2,4,4,2,3,2,4,2,4,2,3,4,2,9/8/2013 12:49:42 PM
146006123,4,2,3,3,5,5,5,4,4,2,2,5,4,5,4,1,1,2,2,2,4,4,3,5,5,3,4,1,2,2,4,3,4,1,1,2,3,3,2,4,5,2,1,2,4,4,5,2,3,5,9/8/2013 12:49:49 PM
150008858,4,5,4,2,3,3,2,3,5,4,5,4,4,5,4,4,3,4,5,3,3,3,2,5,4,1,4,4,3,4,4,1,5,4,2,4,2,1,4,3,2,3,3,4,3,3,2,2,4,2,9/8/2013 12:51:06 PM
144001395,4,3,3,2,4,3,2,3,4,4,3,4,3,4,2,4,4,4,4,4,3,4,2,4,4,2,4,4,3,2,4,3,4,4,2,4,2,2,2,4,2,4,4,4,4,4,2,2,4,3,9/8/2013 12:52:18 PM
151008349,5,1,2,1,5,5,3,3,2,5,2,3,2,3,3,1,3,3,5,4,3,4,1,2,3,2,2,1,2,5,4,1,3,1,4,2,4,3,3,3,4,3,2,2,2,3,4,2,3,4,9/8/2013 12:53:49 PM
146006929,3,3,4,2,3,1,4,2,3,4,2,3,5,2,1,5,4,5,5,3,1,5,3,1,2,1,5,4,1,5,4,1,5,4,1,5,1,1,4,4,2,5,1,4,1,5,1,1,5,1,9/8/2013 12:55:07 PM
144001313,4,4,4,3,4,2,2,1,4,5,2,3,5,3,3,3,3,4,4,2,3,5,2,3,4,2,4,3,2,4,4,3,4,3,2,4,3,1,3,4,3,4,2,4,4,4,2,2,4,2,9/8/2013 12:57:13 PM
152002101,4,5,5,3,5,4,3,2,5,5,5,2,5,5,5,5,5,3,5,3,1,3,2,3,5,3,5,4,5,5,4,5,5,5,1,4,5,1,5,4,3,5,0,5,2,5,2,1,5,1,9/8/2013 1:01:10 PM
150003655,4,5,4,2,5,3,3,2,4,2,3,2,4,5,2,4,4,4,5,5,4,2,1,3,4,2,4,3,4,4,4,5,5,3,1,4,2,1,1,4,3,2,4,5,4,3,2,1,5,3,9/8/2013 1:03:20 PM
153003196,4,5,4,2,3,3,4,3,3,2,3,4,3,5,4,2,3,5,4,5,3,3,1,2,3,2,5,3,2,3,4,4,4,3,4,2,3,3,3,5,5,3,2,1,3,3,2,5,3,2,9/8/2013 1:04:33 PM
150002478,4,4,5,5,5,5,2,3,3,4,4,3,5,5,1,3,4,4,2,2,2,4,4,3,2,2,2,4,5,5,5,5,4,4,3,4,4,3,2,2,1,1,3,4,4,3,3,3,3,3,9/8/2013 1:08:06 PM
149009223,4,4,5,3,3,3,3,3,4,3,3,4,4,5,1,3,2,4,4,4,4,4,3,2,4,0,4,3,4,4,4,5,3,4,1,4,3,2,4,4,2,3,4,3,3,4,3,2,4,3,9/8/2013 1:13:10 PM
150002545,3,5,4,3,3,3,2,4,2,4,3,2,4,5,4,3,4,4,4,3,1,3,2,2,2,2,4,3,3,5,4,1,4,4,1,5,2,2,3,4,2,4,3,3,4,4,2,2,4,3,9/8/2013 1:17:47 PM
141006572,4,4,3,3,2,2,2,3,3,3,3,2,4,3,2,4,3,4,4,2,2,3,2,2,2,2,4,3,4,4,4,4,4,3,2,4,2,2,3,4,2,3,3,4,4,3,2,1,4,2,9/8/2013 1:20:25 PM
150002124,3,4,5,4,3,1,0,2,2,4,5,2,4,2,2,3,4,4,2,2,2,1,1,2,1,1,5,4,4,4,4,3,4,4,1,3,1,1,4,4,2,1,1,3,3,4,2,2,5,2,9/8/2013 1:29:11 PM
150004536,4,4,3,4,4,3,4,4,3,4,2,4,0,3,4,2,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,4,4,9/8/2013 1:29:33 PM
150003097,4,5,4,2,5,1,2,4,4,4,3,2,4,4,3,4,3,4,5,3,3,3,4,4,3,1,4,3,3,4,4,3,4,4,3,4,2,3,2,3,2,3,1,3,2,5,2,1,4,2,9/8/2013 1:38:27 PM
