ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpTIME
152000282,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/8/13 16:37
145005826,4,4,4,3,4,2,3,2,3,4,4,4,3,4,4,4,3,3,3,4,2,4,2,3,4,4,4,4,4,4,4,2,3,4,3,3,4,3,3,3,3,3,12/8/13 16:56
153002141,5,5,5,3,1,3,3,4,3,3,5,5,1,5,5,5,3,5,5,1,3,5,2,5,5,5,2,5,2,5,4,1,2,4,1,4,5,5,5,1,5,5,12/8/13 17:07
153000277,2,3,4,4,1,4,4,3,3,1,5,5,4,5,5,5,3,4,4,1,1,0,2,5,5,4,3,5,1,5,4,2,1,5,1,3,5,3,5,1,4,5,12/8/13 18:58
150003706,5,3,2,4,5,4,2,5,1,2,2,5,1,5,3,3,4,2,4,2,5,3,1,5,3,5,4,5,3,5,4,0,1,3,1,5,2,1,2,4,2,5,12/8/13 23:09
150008707,2,1,5,5,3,3,4,5,4,4,4,4,4,4,5,0,4,4,5,3,4,4,4,4,5,4,4,4,2,4,4,4,5,5,1,5,5,5,5,5,5,5,12/9/13 0:21
145004925,4,5,5,0,3,3,4,5,5,0,0,0,0,0,0,0,2,0,4,3,3,4,4,4,1,5,2,4,2,2,4,2,5,3,1,0,0,3,3,2,4,4,12/9/13 17:42
152002121,3,4,2,3,4,2,3,3,3,4,5,2,5,4,4,4,4,2,4,1,5,1,3,5,3,5,3,2,2,3,4,4,3,4,4,5,5,5,5,5,5,5,12/9/13 23:10
57000904,4,4,5,5,4,2,4,2,4,2,5,3,4,4,3,5,2,2,3,4,3,4,1,4,5,3,1,4,3,4,4,2,2,3,2,3,4,3,3,4,1,4,12/10/13 1:33
150006851,2,4,4,4,2,5,5,2,2,1,5,4,2,4,4,5,1,3,5,2,1,2,2,5,4,5,3,5,1,4,4,1,1,4,2,4,5,4,4,2,5,4,12/10/13 1:38
